path,kind,status,lines,words,disposition
C:/Users/abdul/.agents/skills/find-skills/SKILL.md,SKILL.md,active session catalog,142,845,Narrow capability-discovery trigger
C:/Users/abdul/.agents/skills/impeccable/SKILL.md,SKILL.md,active session catalog,174,3109,Narrow activation and make supervision opt-in; Impeccable helper path defect
C:/Users/abdul/.agents/skills/writing-great-skills/SKILL.md,SKILL.md,active session catalog,82,1467,Correct host-specific invocation documentation; keep pruning guidance
C:/Users/abdul/.codex/AGENTS.md,AGENTS.md,global,44,368,Reviewed; see report family disposition
C:/Users/abdul/.codex/plugins/cache/code-territory-guide/code-territory-guide/0.3.7/skills/code-territory-guide/SKILL.md,SKILL.md,active session catalog,78,718,Simplify default route; consolidate model policy; historical copy if under G:/tmp
C:/Users/abdul/.codex/plugins/cache/openai-bundled/computer-use/26.901.41600/skills/computer-use/SKILL.md,SKILL.md,active session catalog,29,211,Resolve current runtime/tool or precedence mismatch
C:/Users/abdul/.codex/plugins/cache/openai-bundled/sites/0.1.57/skills/sites-building/SKILL.md,SKILL.md,active session catalog,233,4465,Reviewed; see report family disposition
C:/Users/abdul/.codex/plugins/cache/openai-bundled/sites/0.1.57/skills/sites-hosting/SKILL.md,SKILL.md,active session catalog,51,923,Reviewed; see report family disposition
C:/Users/abdul/.codex/plugins/cache/openai-bundled/visualize/1.0.29/skills/visualize/SKILL.md,SKILL.md,active session catalog,514,4349,Reviewed; see report family disposition
C:/Users/abdul/.codex/plugins/cache/openai-curated-remote/deep-research-work/0.1.14/skills/deep-research/SKILL.md,SKILL.md,active session catalog,183,1682,Resolve current runtime/tool or precedence mismatch
C:/Users/abdul/.codex/plugins/cache/openai-curated-remote/figma/2.0.21/skills/figma-code-connect/SKILL.md,SKILL.md,active session catalog,528,3569,Reviewed; see report family disposition
C:/Users/abdul/.codex/plugins/cache/openai-curated-remote/figma/2.0.21/skills/figma-create-new-file/SKILL.md,SKILL.md,active session catalog,80,580,Reviewed; see report family disposition
C:/Users/abdul/.codex/plugins/cache/openai-curated-remote/figma/2.0.21/skills/figma-design-to-code/SKILL.md,SKILL.md,active session catalog,61,780,Reviewed; see report family disposition
C:/Users/abdul/.codex/plugins/cache/openai-curated-remote/figma/2.0.21/skills/figma-generate-design/SKILL.md,SKILL.md,active session catalog,478,4507,Reviewed; see report family disposition
C:/Users/abdul/.codex/plugins/cache/openai-curated-remote/figma/2.0.21/skills/figma-generate-diagram/SKILL.md,SKILL.md,active session catalog,112,1494,Reviewed; see report family disposition
C:/Users/abdul/.codex/plugins/cache/openai-curated-remote/figma/2.0.21/skills/figma-generate-library/SKILL.md,SKILL.md,active session catalog,372,3398,Add small single-component branch
